risk_type,latitude,longitude,integrated_score,integrated_level,summary,ground_risk_score,flood_risk_score,elevation_m,relative_depression_m,insar_displacement_abs,optical_component,surface_component,insar_component,detail
저지대 침수,35.85663965115517,126.9595527648926,78.88593451388931,매우 높음,"해당 지점 고도 10.0m, 주변 평균 대비 8.1m 낮음. 상대적으로 낮고 완만한 지형일수록 폭우 때 빗물이 모이거나 배수가 지연될 수 있습니다.",0.0,78.88593451388931,10.0,8.069971084594727,0.0,0.0,0.0,0.0,DEM 고도 분석에서 주변보다 낮고 완만한 지형으로 분류된 폭우 시 침수 우려 후보입니다.
저지대 침수,35.903373209688425,127.12297439575195,78.6331388801434,매우 높음,"해당 지점 고도 8.0m, 주변 평균 대비 6.3m 낮음. 상대적으로 낮고 완만한 지형일수록 폭우 때 빗물이 모이거나 배수가 지연될 수 있습니다.",0.0,78.6331388801434,8.0,6.268221855163574,0.0,0.0,0.0,0.0,DEM 고도 분석에서 주변보다 낮고 완만한 지형으로 분류된 폭우 시 침수 우려 후보입니다.
저지대 침수,35.76308985263032,126.9595527648926,78.5165179806969,매우 높음,"해당 지점 고도 5.0m, 주변 평균 대비 6.6m 낮음. 상대적으로 낮고 완만한 지형일수록 폭우 때 빗물이 모이거나 배수가 지연될 수 있습니다.",0.0,78.5165179806969,5.0,6.593502998352051,0.0,0.0,0.0,0.0,DEM 고도 분석에서 주변보다 낮고 완만한 지형으로 분류된 폭우 시 침수 우려 후보입니다.
저지대 침수,35.8722205675616,126.97877883911131,78.51441699709478,매우 높음,"해당 지점 고도 8.0m, 주변 평균 대비 9.2m 낮음. 상대적으로 낮고 완만한 지형일수록 폭우 때 빗물이 모이거나 배수가 지연될 수 있습니다.",0.0,78.51441699709478,8.0,9.210744857788086,0.0,0.0,0.0,0.0,DEM 고도 분석에서 주변보다 낮고 완만한 지형으로 분류된 폭우 시 침수 우려 후보입니다.
저지대 침수,35.848848044356686,127.00761795043948,78.33772225862816,매우 높음,"해당 지점 고도 8.0m, 주변 평균 대비 6.6m 낮음. 상대적으로 낮고 완만한 지형일수록 폭우 때 빗물이 모이거나 배수가 지연될 수 있습니다.",0.0,78.33772225862816,8.0,6.598084449768066,0.0,0.0,0.0,0.0,DEM 고도 분석에서 주변보다 낮고 완만한 지형으로 분류된 폭우 시 침수 우려 후보입니다.
저지대 침수,35.94229677415812,127.03645706176756,78.22122268399355,매우 높음,"해당 지점 고도 10.0m, 주변 평균 대비 4.9m 낮음. 상대적으로 낮고 완만한 지형일수록 폭우 때 빗물이 모이거나 배수가 지연될 수 있습니다.",0.0,78.22122268399355,10.0,4.855893135070801,0.0,0.0,0.0,0.0,DEM 고도 분석에서 주변보다 낮고 완만한 지형으로 분류된 폭우 시 침수 우려 후보입니다.
저지대 침수,35.93451359391221,126.9595527648926,78.19676001532444,매우 높음,"해당 지점 고도 10.0m, 주변 평균 대비 4.7m 낮음. 상대적으로 낮고 완만한 지형일수록 폭우 때 빗물이 모이거나 배수가 지연될 수 있습니다.",0.0,78.19676001532444,10.0,4.737608909606934,0.0,0.0,0.0,0.0,DEM 고도 분석에서 주변보다 낮고 완만한 지형으로 분류된 폭우 시 침수 우려 후보입니다.
저지대 침수,35.825468630406455,126.96916580200195,78.19475903076079,매우 높음,"해당 지점 고도 11.0m, 주변 평균 대비 6.8m 낮음. 상대적으로 낮고 완만한 지형일수록 폭우 때 빗물이 모이거나 배수가 지연될 수 있습니다.",0.0,78.19475903076079,11.0,6.77592658996582,0.0,0.0,0.0,0.0,DEM 고도 분석에서 주변보다 낮고 완만한 지형으로 분류된 폭우 시 침수 우려 후보입니다.
저지대 침수,35.84105567191978,126.9595527648926,78.14646385420507,매우 높음,"해당 지점 고도 7.0m, 주변 평균 대비 5.4m 낮음. 상대적으로 낮고 완만한 지형일수록 폭우 때 빗물이 모이거나 배수가 지연될 수 있습니다.",0.0,78.14646385420507,7.0,5.383589744567871,0.0,0.0,0.0,0.0,DEM 고도 분석에서 주변보다 낮고 완만한 지형으로 분류된 폭우 시 침수 우려 후보입니다.
저지대 침수,35.8722205675616,127.06529617309567,78.10057617977031,매우 높음,"해당 지점 고도 10.0m, 주변 평균 대비 6.0m 낮음. 상대적으로 낮고 완만한 지형일수록 폭우 때 빗물이 모이거나 배수가 지연될 수 있습니다.",0.0,78.10057617977031,10.0,6.030820846557617,0.0,0.0,0.0,0.0,DEM 고도 분석에서 주변보다 낮고 완만한 지형으로 분류된 폭우 시 침수 우려 후보입니다.
